name,label,description,bbox_str,beginPosition,timeResolution,endPosition,prefix
aqs.pm25_daily_filter,pm25_daily_filter(ug/m3),Local daily mean surface canister/filter-measured particulate matter (aerosols) 2.5 microns or smaller in diameter in micrograms per cubic meter.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.pm25,pm25(ug/m3),UTC hourly mean surface measured particulate matter (aerosols) 2.5 microns or smaller in diameter in micrograms per cubic meter.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.pm25_black_carbon,pm25_black_carbon(ug/m3),UTC hourly mean surface measured black carbon particulate matter (aerosols) 2.5 microns or smaller in diameter in micrograms per cubic meter.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.pm10,pm10(ug/m3),UTC hourly mean surface measured particulate matter (aerosols) 10 microns or smaller in diameter in micrograms per cubic meter.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.co,co(ppm),UTC hourly mean surface measured carbon monoxide concentration in part-per-million.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.so2,so2(ppb),UTC hourly mean surface measured sulfur dioxide concentration in part-per-billion.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.no2,no2(ppb),UTC hourly mean surface measured nitrogen dioxide concentration in part-per-billion.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.nox,nox(ppb),UTC hourly mean surface measured mono-nitrogen oxides concentration in part-per-billion.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.noy,noy(ppb),UTC hourly mean surface measured reactive odd nitrogen concentration in part-per-billion.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.rh,rh(%),UTC hourly mean surface measured relative humidity in percent.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.dew_point,dew_point(C),UTC hourly mean surface measured dew point temperature in degrees celsius.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.temperature,temperature(C),UTC hourly mean surface measured temperature in degrees celsius.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.pressure,pressure(hPa),UTC hourly mean surface measured atmospheric pressure in hecto-Pascals.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.solar_radiation,solar_radiation(W/m2),UTC hourly mean surface measured solar radiation in Watts per square meter.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.wind_gust,wind_gust(m/s),UTC hourly maximum surface measured wind gust speed in meters per second.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.wind_speed,wind_speed(m/s),UTC hourly mean surface measured wind speed in meters per second.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.wind_bering,wind_bering(bering),UTC hourly mean surface measured wind bering in compass bering angle degrees where wind comes from.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
aqs.wind,wind(m/s),UTC hourly mean surface measured wind resultant vector U-component (east) and V-component (north) in meters per second.,-180 -90 180 90,19940501T00:00:00Z,PT1Y,now,aqs
calipso.l1.Profile_Time,Profile_Time(seconds_since_1993-01-01),Profile_Time,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Profile_ID,Profile_ID(-),Profile_ID,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Land_Water_Mask,Land_Water_Mask(-),Land_Water_Mask,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.IGBP_Surface_Type,IGBP_Surface_Type(-),IGBP_Surface_Type,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.NSIDC_Surface_Type,NSIDC_Surface_Type(-),NSIDC_Surface_Type,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Day_Night_Flag,Day_Night_Flag(-),Day_Night_Flag,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Frame_Number,Frame_Number(-),Frame_Number,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Lidar_Mode,Lidar_Mode(-),Lidar_Mode,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Lidar_Submode,Lidar_Submode(-),Lidar_Submode,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Laser_Energy_532,Laser_Energy_532(J),Laser_Energy_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Perpendicular_Amplifier_Gain_532,Perpendicular_Amplifier_Gain_532(V/V),Perpendicular_Amplifier_Gain_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Parallel_Amplifier_Gain_532,Parallel_Amplifier_Gain_532(V/V),Parallel_Amplifier_Gain_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Perpendicular_Background_Monitor_532,Perpendicular_Background_Monitor_532(counts),Perpendicular_Background_Monitor_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Parallel_Background_Monitor_532,Parallel_Background_Monitor_532(counts),Parallel_Background_Monitor_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Depolarization_Gain_Ratio_532,Depolarization_Gain_Ratio_532(-),Depolarization_Gain_Ratio_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Depolarization_Gain_Ratio_Uncertainty_532,Depolarization_Gain_Ratio_Uncertainty_532(-),Depolarization_Gain_Ratio_Uncertainty_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Calibration_Constant_532,Calibration_Constant_532(km3*sr*counts),Calibration_Constant_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Calibration_Constant_Uncertainty_532,Calibration_Constant_Uncertainty_532(km3*sr*counts),Calibration_Constant_Uncertainty_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Total_Attenuated_Backscatter_532,Total_Attenuated_Backscatter_532(/km/sr),Total_Attenuated_Backscatter_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Perpendicular_Attenuated_Backscatter_532,Perpendicular_Attenuated_Backscatter_532(/km/sr),Perpendicular_Attenuated_Backscatter_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Perpendicular_RMS_Baseline_532,Perpendicular_RMS_Baseline_532(counts),Perpendicular_RMS_Baseline_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Parallel_RMS_Baseline_532,Parallel_RMS_Baseline_532(counts),Parallel_RMS_Baseline_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Laser_Energy_1064,Laser_Energy_1064(J),Laser_Energy_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Amplifier_Gain_1064,Amplifier_Gain_1064(V/V),Amplifier_Gain_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Calibration_Constant_1064,Calibration_Constant_1064(km3*sr*counts),Calibration_Constant_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Calibration_Constant_Uncertainty_1064,Calibration_Constant_Uncertainty_1064(km3*sr*counts),Calibration_Constant_Uncertainty_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Attenuated_Backscatter_1064,Attenuated_Backscatter_1064(/km/sr),Attenuated_Backscatter_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.RMS_Baseline_1064,RMS_Baseline_1064(counts),RMS_Baseline_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Molecular_Number_Density,Molecular_Number_Density(molecules/m3),Molecular_Number_Density,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Ozone_Number_Density,Ozone_Number_Density(molecules/m3),Ozone_Number_Density,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Temperature,Temperature(degC),Temperature,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Pressure,Pressure(hPa),Pressure,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Noise_Scale_Factor_532_Perpendicular,Noise_Scale_Factor_532_Perpendicular(square_root_of_counts),Noise_Scale_Factor_532_Perpendicular,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Noise_Scale_Factor_532_Parallel,Noise_Scale_Factor_532_Parallel(square_root_of_counts),Noise_Scale_Factor_532_Parallel,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Noise_Scale_Factor_1064,Noise_Scale_Factor_1064(square_root_of_counts),Noise_Scale_Factor_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.QC_Flag,QC_Flag(-),QC_Flag,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.QC_Flag_2,QC_Flag_2(-),QC_Flag_2,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Off_Nadir_Angle,Off_Nadir_Angle(degrees),Off_Nadir_Angle,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Viewing_Zenith_Angle,Viewing_Zenith_Angle(degrees),Viewing_Zenith_Angle,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Viewing_Azimuth_Angle,Viewing_Azimuth_Angle(degrees),Viewing_Azimuth_Angle,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Solar_Zenith_Angle,Solar_Zenith_Angle(degrees),Solar_Zenith_Angle,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Solar_Azimuth_Angle,Solar_Azimuth_Angle(degrees),Solar_Azimuth_Angle,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Scattering_Angle,Scattering_Angle(degrees),Scattering_Angle,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Altitude,Spacecraft_Altitude(km),Spacecraft_Altitude,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Position_X,Spacecraft_Position_X(km),Spacecraft_Position_X,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Position_Y,Spacecraft_Position_Y(km),Spacecraft_Position_Y,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Position_Z,Spacecraft_Position_Z(km),Spacecraft_Position_Z,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Velocity_X,Spacecraft_Velocity_X(km/s),Spacecraft_Velocity_X,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Velocity_Y,Spacecraft_Velocity_Y(km/s),Spacecraft_Velocity_Y,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Velocity_Z,Spacecraft_Velocity_Z(km/s),Spacecraft_Velocity_Z,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Attitude_X,Spacecraft_Attitude_X(degrees),Spacecraft_Attitude_X,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Attitude_Y,Spacecraft_Attitude_Y(degrees),Spacecraft_Attitude_Y,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Attitude_Z,Spacecraft_Attitude_Z(degrees),Spacecraft_Attitude_Z,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Attitude_Rate_X,Spacecraft_Attitude_Rate_X(deg/s),Spacecraft_Attitude_Rate_X,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Attitude_Rate_Y,Spacecraft_Attitude_Rate_Y(deg/s),Spacecraft_Attitude_Rate_Y,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Spacecraft_Attitude_Rate_Z,Spacecraft_Attitude_Rate_Z(deg/s),Spacecraft_Attitude_Rate_Z,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Subsatellite_Latitude,Subsatellite_Latitude(degrees),Subsatellite_Latitude,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Subsatellite_Longitude,Subsatellite_Longitude(degrees),Subsatellite_Longitude,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Earth-Sun_Distance,Earth-Sun_Distance(AU),Earth-Sun_Distance,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Subsolar_Latitude,Subsolar_Latitude(degrees),Subsolar_Latitude,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l1.Subsolar_Longitude,Subsolar_Longitude(degrees),Subsolar_Longitude,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Day_Night_Flag,Day_Night_Flag(-),Day_Night_Flag,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Optical_Depth_Cloud_532,Column_Optical_Depth_Cloud_532(-),Column_Optical_Depth_Cloud_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Optical_Depth_Cloud_Uncertainty_532,Column_Optical_Depth_Cloud_Uncertainty_532(-),Column_Optical_Depth_Cloud_Uncertainty_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Optical_Depth_Aerosols_532,Column_Optical_Depth_Aerosols_532(-),Column_Optical_Depth_Aerosols_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Optical_Depth_Aerosols_Uncertainty_532,Column_Optical_Depth_Aerosols_Uncertainty_532(-),Column_Optical_Depth_Aerosols_Uncertainty_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Optical_Depth_Stratospheric_532,Column_Optical_Depth_Stratospheric_532(-),Column_Optical_Depth_Stratospheric_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Optical_Depth_Stratospheric_Uncertainty_532,Column_Optical_Depth_Stratospheric_Uncertainty_532(-),Column_Optical_Depth_Stratospheric_Uncertainty_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Optical_Depth_Aerosols_1064,Column_Optical_Depth_Aerosols_1064(-),Column_Optical_Depth_Aerosols_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Optical_Depth_Aerosols_Uncertainty_1064,Column_Optical_Depth_Aerosols_Uncertainty_1064(-),Column_Optical_Depth_Aerosols_Uncertainty_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Optical_Depth_Stratospheric_1064,Column_Optical_Depth_Stratospheric_1064(-),Column_Optical_Depth_Stratospheric_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Optical_Depth_Stratospheric_Uncertainty_1064,Column_Optical_Depth_Stratospheric_Uncertainty_1064(-),Column_Optical_Depth_Stratospheric_Uncertainty_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Feature_Fraction,Column_Feature_Fraction(-),Column_Feature_Fraction,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_Integrated_Attenuated_Backscatter_532,Column_Integrated_Attenuated_Backscatter_532(sr^-1),Column_Integrated_Attenuated_Backscatter_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Column_IAB_Cumulative_Probability,Column_IAB_Cumulative_Probability(-),Column_IAB_Cumulative_Probability,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Tropopause_Height,Tropopause_Height(km),Tropopause_Height,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Tropopause_Temperature,Tropopause_Temperature(degC),Tropopause_Temperature,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Temperature,Temperature(degC),Temperature,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Pressure,Pressure(hPa),Pressure,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Molecular_Number_Density,Molecular_Number_Density(m^-3),Molecular_Number_Density,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Relative_Humidity,Relative_Humidity(%),Relative_Humidity,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Surface_Winds_X,Surface_Winds_X(m/s),Surface_Winds_X,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Surface_Winds_Y,Surface_Winds_Y(m/s),Surface_Winds_Y,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Samples_Averaged,Samples_Averaged(-),Samples_Averaged,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Aerosol_Layer_Fraction,Aerosol_Layer_Fraction(-),Aerosol_Layer_Fraction,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Cloud_Layer_Fraction,Cloud_Layer_Fraction(-),Cloud_Layer_Fraction,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Atmospheric_Volume_Description,Atmospheric_Volume_Description(-),Atmospheric_Volume_Description,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Total_Backscatter_Coefficient_532,Total_Backscatter_Coefficient_532(sr^-1km^-1),Total_Backscatter_Coefficient_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Total_Backscatter_Coefficient_Uncertainty_532,Total_Backscatter_Coefficient_Uncertainty_532(sr^-1km^-1),Total_Backscatter_Coefficient_Uncertainty_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Perpendicular_Backscatter_Coefficient_532,Perpendicular_Backscatter_Coefficient_532(sr^-1km^-1),Perpendicular_Backscatter_Coefficient_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Perpendicular_Backscatter_Coefficient_Uncertainty_532,Perpendicular_Backscatter_Coefficient_Uncertainty_532(sr^-1km^-1),Perpendicular_Backscatter_Coefficient_Uncertainty_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Particulate_Depolarization_Ratio_Profile_532,Particulate_Depolarization_Ratio_Profile_532(-),Particulate_Depolarization_Ratio_Profile_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Particulate_Depolarization_Ratio_Uncertainty_532,Particulate_Depolarization_Ratio_Uncertainty_532(-),Particulate_Depolarization_Ratio_Uncertainty_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Extinction_Coefficient_532,Extinction_Coefficient_532(km^-1),Extinction_Coefficient_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Extinction_Coefficient_Uncertainty_532,Extinction_Coefficient_Uncertainty_532(km^-1),Extinction_Coefficient_Uncertainty_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Aerosol_Multiple_Scattering_Profile_532,Aerosol_Multiple_Scattering_Profile_532(-),Aerosol_Multiple_Scattering_Profile_532,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Backscatter_Coefficient_1064,Backscatter_Coefficient_1064(sr^-1km^-1),Backscatter_Coefficient_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Backscatter_Coefficient_Uncertainty_1064,Backscatter_Coefficient_Uncertainty_1064(sr^-1km^-1),Backscatter_Coefficient_Uncertainty_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
calipso.l2_05kmapro.Extinction_Coefficient_1064,Extinction_Coefficient_1064(km^-1),Extinction_Coefficient_1064,-180 -90 180 90,2006-06-07T00:00:00Z,PT1H,2012-12-31T23:59:59Z,calipso
